brand,restaurant,source_file,section,item_type,item_name,description,price_eur,currency,notes
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Sobremesas,food,Mousse de ananás com peta zetas,"Mousse leve de ananás, decorada com Peta Zetas para um toque explosivo e surpreendente. Uma verdadeira viagem no tempo",6.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Sobremesas,food,Petit gateau de caramelo salgado,"Surpreendente, como sempre",6.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Sobremesas,food,Tarte de limão merengada,Combinação irresistível entre a acidez vibrante do limão e a doçura do merengue,6.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Sobremesas,food,Tarte de Abóbora,"A receita especial da Dora, com gelado de tangerina",6.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Menu de Raiz,set_menu,Prato do dia | bebida | café,"Nos dias de semana, das 12h00 às 15h00, o almoço tem sabor especial",15.0,EUR,weekday lunch offer
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cafetaria,drink,Café Expresso | Descafeínado | Garoto,,1.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cafetaria,drink,Café duplo,,2.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cafetaria,drink,Meia de leite,,2.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cafetaria,drink,Galão,,2.2,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cafetaria,drink,Capuccino,,2.8,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cafetaria,drink,Copo de leite,,1.8,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cafetaria,drink,Chá (seleção de chás),,1.8,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cafetaria,drink,Carioca de limão,,1.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cafetaria,drink,Água das Pedras,,2.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cafetaria,drink,Águas com gás aromatizada,,2.5,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,Sandes de queijo,,2.5,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,Sandes mista,,3.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,Tosta queijo,,4.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,Tosta mista,,4.5,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,"Tosta queijo, tomate e órgãos",,4.5,EUR,source text may contain OCR typo; could be 'orégãos'
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,Torrada de abacate e ovo escalfado,,5.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,Torrada em pão massa mãe,,2.5,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,Croissant Francês,,1.6,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,Croissant Francês com queijo ou fiambre,,2.8,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,Ovos mexidos simples,,3.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,Pudim de chia,,4.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Snacks,food,Pastel de nata,,1.2,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Bebidas naturais,drink,Sumo de laranja natural,,3.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Bebidas naturais,drink,Sumo de frutas natural,,4.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Bebidas naturais,drink,Limonada com hortelã,,2.5,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Bebidas naturais,drink,Limonada de maracujá,,3.5,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cocktails,drink,Mojito,,8.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cocktails,drink,Caipirinha,,7.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cocktails,drink,Margarita,,8.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cocktails,drink,Expresso Martini,,8.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cocktails,drink,Aperol Spritz,,8.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cocktails,drink,Negroni,,8.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cocktails,drink,Moscow Mule,,10.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cocktails,drink,Disaronno Sour,,8.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Cocktails,drink,Porto Tónico,,7.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Espirituosas,drink,Jameson,,6.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Espirituosas,drink,Jack Daniel’s Fire,,6.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Espirituosas,drink,Jack Daniel’s Apple,,6.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Espirituosas,drink,Gin Mare,,10.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Espirituosas,drink,Gin Hendrick’s,,10.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Espirituosas,drink,Aguardente velha CR&F,,6.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Espirituosas,drink,Moscatel,,4.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Espirituosas,drink,Licor de Rum Diplomático,,6.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Espirituosas,drink,Vinho do Porto Sandeman,,4.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Espirituosas,drink,Disaronno Velvet,,5.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Espirituosas,drink,Disaronno Original,,5.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Bar,drink,Refrigerantes – Coca-Cola | Seven Up | Ice Tea | Ginger Ale,,2.5,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Bar,drink,Imperial (25 cl),,2.5,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Bar,drink,Caneca (50 cl),,5.0,EUR,
De Raiz,De Raíz Museu da Cidade,De Raiz - Museu da Cidade - Menu Português.pptx,Bar,drink,Bandida do Pomar (25 cl),,3.0,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Couvert,"Seleção de pão e tostas, servidos com manteiga aromatizada",,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Tataki de atum,"Atum fresco, ligeiramente braseado, com emulsão de sésamo",,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Ceviche Peruano,Ceviche de peixe fresco marinado em citrinos e especiarias,,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Tártaro de atum,"Atum fresco finamente picado, acompanhado com alga wakame, rábano e molho de soja",,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Tártaro de salmão,"Tártaro de salmão acompanhado de alga wakame, rábano e molho de soja",,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Bolinhas da horta,"Bolinhas vegan crocantes, perfeitas para petiscar, com maionese cítrica",,EUR,vegan
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Cogumelos pleurotus,"Pleurotus frescos salteados em azeite, alho e molho de soja",,EUR,vegan
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Picapau de atum,Lombo de atum salteado num molho com aroma de gengibre,,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Picapau de lombo,A clássica receita portuguesa de pica-pau com um toque especial,,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Queijo amanteigado,Queijo de Azeitão DOP,,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Taglietelle com pesto e tomate cherry,Com manjericão da horta do chef,,EUR,vegetarian
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Risotto de legumes,Arroz Carnaroli e legumes frescos do dia,,EUR,vegetarian
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Brás de alho Francês,Cremoso e com batatas fritas muito finas,,EUR,vegetarian
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Para começar,food,Hamburger Veggie,Único com sabores fortes da terra,,EUR,vegan
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Da terra,food,Bife do lombo,Bife tenro do lombo acompanhado com batatas fritas caseiras e legumes frescos salteados em azeite e especiarias,,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Da terra,food,Entrecôte,"Entrecôte no ponto perfeito, acompanhado de salada fresca e arroz aromático",,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Da terra,food,Costeletas de borrego,Costeletas de borrego acompanhadas de batatas New York perfeitas e salada,,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Da terra,food,Frango confitado,Cozinhado a baixa temperatura acompanhado com bulgur e legumes baby,,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Da terra,food,Hamburger Black Angus,Um clássico revisitado pelo chef,,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Do mar,food,Lombo de bacalhau,"Bacalhau lascado sobre puré de ervilhas, emulsão de salsa e azeitona desidratada",,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Do mar,food,Corvina com risotto,Corvina grelhada sobre um risotto cremoso de cogumelos shitaki,,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Do mar,food,Bitoque de atum,Bife de atum em cama de Pak Choy com ovo e batatas fritas caseiras,,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Do mar,food,Salmão braseado,"Lombo de salmão braseado, acompanhado de puré de batata trufado e legumes baby salteados",,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Sobremesas,food,Pastel de nata desconstruído,Uma abordagem criativa ao icónico pastel de nata,,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Sobremesas,food,Mousse de ananás com peta zetas,"Mousse leve de ananás, decorada com Peta Zetas para um toque explosivo e surpreendente. Uma verdadeira viagem no tempo",,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Sobremesas,food,Crumble de maçã,"Crumble quente de maçã com especiarias, coberto com uma camada crocante e deliciosa",,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Sobremesas,food,Bolo de chocolate três texturas,"Bolo de chocolate, destacando três texturas deliciosas que encantam os amantes de chocolate",,EUR,
De Raiz,De Raíz Cacilhas,Menu Português.pdf,Sobremesas,food,Cheesecake,Cheesecake cítrico,,EUR,
